step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
3,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,27341.1751,0,9,6,7,8,8,8,6,4,8,2
3,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,5117.3657,0.5,3,5,2,8,2,5,3,4,3,0
4,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31283.0958,0.75,9,4,9,5,8,10,9,6,9,2
4,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,18396.73,0.75,8,5,8,7,9,8,9,7,9,2
4,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,27640.7218,0,7,1,3,6,2,8,6,3,1,2
4,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,4924.1892,0.5,10,9,10,9,10,9,10,7,10,0
5,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31474.7063,0.8,8,7,2,4,4,8,7,5,8,2
5,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,17511.3195,0.8,8,7,4,7,7,9,9,5,9,2
5,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,52125.3816,0,7,4,2,2,3,5,5,3,7,2
5,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,4209.8365,0.5,9,6,2,6,4,3,3,4,8,0
6,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,33787.3015,0.85,8,5,7,9,10,7,6,2,9,2
6,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,17891.4163,0.85,7,5,9,4,6,10,9,5,8,2
